Modelo,AUC_media,AUC_DE,Brier_media,Brier_DE,DE_prediccion,Convergencia_pct,Repeticiones_validas,Estado,Replica,Prevalencia_observada,Escenario,n,p,Prevalencia,Correlacion
CART,0.6330505776300419,0.17734727192607055,0.3336696232973397,0.1321841751673466,0.2675175129601733,100.0,100,Dominado,29,0.43333333333333335,1,30,5,0.5,0.0
Logit,0.39363337720480573,0.16560806262809963,0.3562413939300388,0.10157756017071115,0.22317212355786534,91.91919191919192,91,No dominado,30,0.3,1,30,5,0.5,0.0
Firth,0.37543432764392365,0.1629619065858877,0.34045703865110394,0.0959182303990143,0.2011539044332072,100.0,99,Dominado,30,0.3,1,30,5,0.5,0.0
Elastic Net,0.3786788094995166,0.1541397558625499,0.3195084170979571,0.08875905081207337,0.16924146658942457,100.0,99,No dominado,30,0.3,1,30,5,0.5,0.0
CART,0.41232886221522574,0.15050306307358502,0.4023682910618593,0.10649911343345972,0.2989978729772977,100.0,99,No dominado,30,0.3,1,30,5,0.5,0.0
Logit,0.5625582298136645,0.18477843379684503,0.3592677856492165,0.12320738898399752,0.23137069814501282,92.0,92,No dominado,31,0.5666666666666667,1,30,5,0.5,0.0
Firth,0.5480930555555555,0.18384395323462605,0.3413983751695187,0.11820514473286259,0.2094910851935147,100.0,100,No dominado,31,0.5666666666666667,1,30,5,0.5,0.0
Elastic Net,0.5428984126984127,0.17961738397069493,0.316826037139411,0.08899589867370063,0.18043068933887388,100.0,100,No dominado,31,0.5666666666666667,1,30,5,0.5,0.0
CART,0.5944339285714285,0.1897603590102413,0.35516589721574654,0.12964405422761366,0.3067635526718279,100.0,100,No dominado,31,0.5666666666666667,1,30,5,0.5,0.0
Logit,0.7956160497231926,0.13099205778281603,0.22711342745267665,0.10529324775117678,0.17996873534829524,74.0,74,Dominado,32,0.43333333333333335,1,30,5,0.5,0.0
Firth,0.7913105081426511,0.14173509492393052,0.22662734830932707,0.09963766243952427,0.16463715254044828,100.0,100,Dominado,32,0.43333333333333335,1,30,5,0.5,0.0
