Modelo,AUC_media,AUC_DE,Brier_media,Brier_DE,DE_prediccion,Convergencia_pct,Repeticiones_validas,Estado,Replica,Prevalencia_observada,Escenario,n,p,Prevalencia,Correlacion
Elastic Net,0.5223357142857143,0.17634037980556772,0.31160821919041676,0.07317458995902357,0.17265492578334732,100.0,100,No dominado,18,0.5666666666666667,1,30,5,0.5,0.0
CART,0.47972857142857145,0.16451853631805105,0.41331469385513314,0.13131108574278857,0.31390726176587125,100.0,100,No dominado,18,0.5666666666666667,1,30,5,0.5,0.0
Logit,0.7099916983953128,0.1499018924821819,0.2589685172200634,0.08529191039281009,0.18318670947095878,83.0,83,Dominado,19,0.4,1,30,5,0.5,0.0
Firth,0.707667334054834,0.14760474566954343,0.26233588696174726,0.09395966779963623,0.17414752925437513,100.0,100,Dominado,19,0.4,1,30,5,0.5,0.0
Elastic Net,0.7151040043290045,0.13958055312890202,0.2437368078124463,0.07567366208388386,0.1409928080521998,100.0,100,No dominado,19,0.4,1,30,5,0.5,0.0
CART,0.6292178481240981,0.1722316728366246,0.3253369886338335,0.1234934410182217,0.2832286841705482,100.0,100,Dominado,19,0.4,1,30,5,0.5,0.0
Logit,0.8296062059082892,0.1426224487614097,0.21810077344351494,0.08999796315535777,0.17208773287062382,72.72727272727273,72,Dominado,20,0.36666666666666664,1,30,5,0.5,0.0
Firth,0.7935874345912224,0.14857329508866438,0.22161561998616078,0.08978667404965987,0.1614893374210325,100.0,99,Dominado,20,0.36666666666666664,1,30,5,0.5,0.0
Elastic Net,0.8372247486893951,0.1253393425974692,0.18110117064454176,0.06444914197130173,0.12158559586812705,100.0,99,No dominado,20,0.36666666666666664,1,30,5,0.5,0.0
CART,0.7259970906151461,0.18610319773646677,0.24169240749426524,0.12390384578219146,0.243776904609453,100.0,99,Dominado,20,0.36666666666666664,1,30,5,0.5,0.0
Logit,0.7643266453406758,0.13886537923693026,0.26927908242024373,0.0997343502959037,0.18242586724695084,84.0,84,Dominado,21,0.4,1,30,5,0.5,0.0
Firth,0.7445814651618222,0.15250062898363761,0.26360283962893777,0.10342054351062244,0.18060662341542438,100.0,100,Dominado,21,0.4,1,30,5,0.5,0.0
Elastic Net,0.7694334939531368,0.1378737252416688,0.2315147957325841,0.07449289572794789,0.14190982311271844,100.0,100,No dominado,21,0.4,1,30,5,0.5,0.0
CART,0.717139243197279,0.14443035382366703,0.2690412478523094,0.11005646975536286,0.24242000135356126,100.0,100,Dominado,21,0.4,1,30,5,0.5,0.0
Logit,0.7547038949448589,0.14412017769158114,0.23830068089684303,0.09104732273521578,0.1814900770859851,83.0,83,No dominado,22,0.6333333333333333,1,30,5,0.5,0.0
Firth,0.7299988756613756,0.15379070648852597,0.2373533995635676,0.08021023971560241,0.16652246754100317,100.0,100,No dominado,22,0.6333333333333333,1,30,5,0.5,0.0
Elastic Net,0.7351636243386243,0.16144147588147323,0.21615007964376293,0.06140780788070707,0.13271873732747516,100.0,100,No dominado,22,0.6333333333333333,1,30,5,0.5,0.0
CART,0.6257659722222223,0.16481853468699306,0.30709973105404964,0.11751226621542668,0.26786749903753326,100.0,100,Dominado,22,0.6333333333333333,1,30,5,0.5,0.0
Logit,0.4749555461073317,0.1726548131106961,0.37281757028135026,0.08845124928905455,0.22991756559039814,100.0,100,Dominado,23,0.5666666666666667,1,30,5,0.5,0.0
Firth,0.47762366780045357,0.16673623008065488,0.34407528677561594,0.0738192409795564,0.19382366195041545,100.0,100,Dominado,23,0.5666666666666667,1,30,5,0.5,0.0
Elastic Net,0.5063324263038549,0.1601793076922777,0.32861740077859414,0.06559776719854993,0.17689423594847,100.0,100,No dominado,23,0.5666666666666667,1,30,5,0.5,0.0
CART,0.4905126558956917,0.17105004400881857,0.4196481423181821,0.11947901659524282,0.31823462691214416,100.0,100,Dominado,23,0.5666666666666667,1,30,5,0.5,0.0
Logit,0.5377645998522287,0.18455149787082925,0.3128195082276709,0.10685617821511169,0.20908135396351116,97.97979797979798,97,Dominado,24,0.7,1,30,5,0.5,0.0
Firth,0.5396373183494395,0.18419855262683377,0.29100164852523314,0.09714471277369083,0.17609617614861525,100.0,99,No dominado,24,0.7,1,30,5,0.5,0.0
Elastic Net,0.5606837616181051,0.18590393194135765,0.2602849681149104,0.0738406483559888,0.1406016625036072,100.0,99,No dominado,24,0.7,1,30,5,0.5,0.0
CART,0.5218898915805481,0.1896973718980927,0.327833739466413,0.10448459831285531,0.2706545474536531,100.0,99,Dominado,24,0.7,1,30,5,0.5,0.0
Logit,0.5791443628278735,0.14372235605810094,0.3476979202941047,0.10114379492767019,0.2208103913281028,94.0,94,No dominado,25,0.5,1,30,5,0.5,0.0
Firth,0.568769708994709,0.1444901888539973,0.3304265165954,0.09960268166176676,0.19631773095511204,100.0,100,No dominado,25,0.5,1,30,5,0.5,0.0
Elastic Net,0.5814693783068783,0.1461759083543789,0.30309090966600943,0.07144226709520739,0.1630672933286106,100.0,100,No dominado,25,0.5,1,30,5,0.5,0.0
CART,0.5159197751322753,0.15803821918385527,0.41737292152916167,0.11418825681921091,0.30335237216425237,100.0,100,Dominado,25,0.5,1,30,5,0.5,0.0
Logit,0.731310050748253,0.16169020745118604,0.27069446959980265,0.11270427054600159,0.1968367674029232,89.0,89,No dominado,26,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.7242565914244484,0.16240223416081262,0.25915665050654496,0.09765865457541152,0.17043123394189374,100.0,100,No dominado,26,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.7175482220160793,0.1396239140548167,0.24915794428462157,0.06998307667511987,0.15402886805954802,100.0,100,No dominado,26,0.4666666666666667,1,30,5,0.5,0.0
CART,0.5354651205936921,0.15741056799598394,0.39373110580383097,0.12094730476247792,0.3166215399759841,100.0,100,Dominado,26,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.5448691371285356,0.14934971109984585,0.3493225452903633,0.10234976164795728,0.22558328784983456,95.0,95,No dominado,27,0.6,1,30,5,0.5,0.0
Firth,0.533705656050299,0.15600822053195398,0.3303055465171731,0.08913402328981988,0.1978791392699855,100.0,100,No dominado,27,0.6,1,30,5,0.5,0.0
Elastic Net,0.5487078231292517,0.161672821268193,0.30762551763544344,0.07428794474804604,0.1661392684734711,100.0,100,No dominado,27,0.6,1,30,5,0.5,0.0
CART,0.560414464801072,0.15519660940402405,0.3710360811860465,0.11452959865570726,0.3135402211328485,100.0,100,No dominado,27,0.6,1,30,5,0.5,0.0
Logit,0.6686737368271459,0.1801198876731228,0.2967896378928662,0.10634149422410506,0.21003722606006292,88.0,88,No dominado,28,0.36666666666666664,1,30,5,0.5,0.0
Firth,0.6492571136535422,0.18577353937552457,0.28494920501915794,0.0938700520910882,0.19110620880524326,100.0,100,Dominado,28,0.36666666666666664,1,30,5,0.5,0.0
Elastic Net,0.6811066034494604,0.18178602599320434,0.26161424347415035,0.08270288698633392,0.16233130740623436,100.0,100,No dominado,28,0.36666666666666664,1,30,5,0.5,0.0
CART,0.5142194719301861,0.1675966310886246,0.3930004019616304,0.11591111230645398,0.305719105897192,100.0,100,No dominado,28,0.36666666666666664,1,30,5,0.5,0.0
Logit,0.773994547683572,0.17072133313514293,0.2656826355451069,0.13064434082603876,0.1885096625502866,82.0,82,No dominado,29,0.43333333333333335,1,30,5,0.5,0.0
Firth,0.7501920231223803,0.17498777686656744,0.2622393756709365,0.10774062068551828,0.16949103690632855,100.0,100,Dominado,29,0.43333333333333335,1,30,5,0.5,0.0
Elastic Net,0.750905346835704,0.16033160400831492,0.24542726730960956,0.08594544120677487,0.14798456524181164,100.0,100,No dominado,29,0.43333333333333335,1,30,5,0.5,0.0
